"duracion","costo","tamanio_equipo","complejidad","experiencia_equipo","tipo_proyecto","metodologia","num_modulos","nuevas_tecnologias","satisfaccion_cliente"
35.2499172733357,190.184821388091,5,6,4.44102728553116,"móvil","Agile",44,62.5454469351098,7.90630260389298
30.6860158404137,176.66587151957,5,3,9.88339652027935,"web","Waterfall",37,23.5855489503592,5.80888317967765
28.0722125458094,161.825231350395,12,1,2.9225836340338,"embedded","Waterfall",8,32.388740638271,8.904683558736
42.2259937606381,220.550341899981,4,9,9.76089203404263,"escritorio","Agile",37,74.6848706854507,9.76695793145336
41.4667850530857,244.410101979379,8,8,5.05825532763265,"embedded","Agile",33,26.6919340472668,7.50989978434518
41.4940027938849,250.991704064068,13,9,3.79300080146641,"móvil","Hybrid",9,65.7464366871864,7.5707087693736
30.9043513596581,170.751275512332,7,1,8.73294156254269,"embedded","Agile",30,55.1959490636364,5.3458555014804
52.8906224173435,268.825965810838,6,8,7.3694047415629,"web","Waterfall",50,77.9854369116947,2.12507555866614
43.135407420469,240.40034279895,8,8,6.01270560058765,"embedded","Agile",34,31.4654315821826,9.42284963396378
44.5107323929615,248.597715382944,11,8,3.1714651840739,"web","Waterfall",30,74.4725415250286,5.08875891938806
46.498181802477,225.708451426631,12,10,5.71958491881378,"web","Agile",24,29.6693366253749,3.97831635735929
53.8970483397359,294.498905632142,13,10,7.79359812778421,"móvil","Agile",43,63.080207281746,6.54951221332885
33.2315929647237,202.742314916277,7,8,5.49868364096619,"móvil","Agile",9,8.26641796156764,5.1944230243098
43.8944408405303,231.502003682472,5,8,5.2905672150664,"móvil","Hybrid",45,5.98777486011386,1.14861971791834
42.5011726815598,248.31899609448,13,8,5.53208859078586,"móvil","Hybrid",13,94.5114572532475,4.33527526282705
31.3669499215671,188.131698858529,11,2,6.48401962406933,"web","Agile",44,40.2678378392011,1.6290751225315
31.7411523067944,206.317352684899,14,2,5.4418121157214,"escritorio","Waterfall",14,81.7367875948548,7.94832889852114
35.2352515350602,182.768833320019,11,2,2.75649605714716,"embedded","Hybrid",30,51.4014015905559,7.04128666780889
30.0686036213285,170.937347038177,11,3,5.60907696234062,"embedded","Agile",9,10.2295216871426,4.1840739082545
36.0233029889019,221.976075831311,15,2,8.97374154138379,"escritorio","Hybrid",26,51.8432131502777,9.76281687314622
37.3611641665216,201.69839627462,5,9,1.68404741748236,"móvil","Agile",32,37.6904418924823,7.68459363328293
38.732083744281,227.043952322087,10,9,5.1981100118719,"escritorio","Agile",7,41.7393412208185,2.85714811924845
41.360266422881,246.814623226667,12,7,8.79307183343917,"web","Hybrid",21,74.5177150238305,1.68112000008114
